LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,BsmtUnfSF,TotalBsmtSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageCars,WoodDeckSF,TotalPorch,GarageFinish,Functional,BsmtCond,LotConfig,LandSlope,BsmtQual,Foundation,FireplaceQu,PavedDrive,BsmtExposure,HouseStyle,Fence,SaleType,LandContour,BsmtFinType1,Neighborhood,Exterior2nd,LotShape,SaleCondition,KitchenQual,MasVnrType,RoofStyle,ExterCond,ExterQual,HeatingQC,Condition1,CentralAir,BldgType,MSZoning,GarageType,Electrical,MoSold,YrSold,YearBuiltlabel,YearRemodAdd_label,SalePrice,target
85,10800,8,5,100,245,1034,2078,1,0,2,1,3,1,3,0,102,Fin,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,No,2Story,None,New,Lvl,GLQ,Somerst,VinylSd,Reg,Partial,Ex,Stone,Gable,TA,Gd,Ex,Norm,Y,1Fam,FV,Attchd,SBrkr,4,2008,1,1,339750,12.73596828
68,9571,5,3,0,1276,1276,1276,0,0,1,0,3,0,1,0,0,Unf,Mod,Fa,Inside,Gtl,TA,CBlock,None,Y,No,1Story,None,COD,Lvl,Unf,Edwards,Brk Cmn,Reg,Abnorml,TA,None,Gable,Fa,TA,TA,Norm,Y,1Fam,RL,Attchd,FuseA,6,2009,6,6,60000,11.00211651
100,34650,5,5,0,0,1056,1056,1,0,1,0,3,0,2,264,0,Fin,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,Mn,1Story,None,WD,Bnk,Rec,Gilbert,Wd Sdng,Reg,Normal,TA,None,Hip,TA,TA,TA,Norm,N,2fmCon,RL,Attchd,SBrkr,1,2006,6,6,145000,11.88449592
72.5,4403,7,5,432,892,1470,1478,1,0,2,1,2,1,2,0,144,Fin,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,Av,1Story,None,New,Lvl,GLQ,Somerst,MetalSd,IR2,Partial,Gd,Stone,Gable,TA,Ex,Ex,Norm,Y,1Fam,FV,Attchd,SBrkr,6,2010,1,1,222000,12.31043717
56,8960,5,6,0,1008,1008,1028,0,0,1,0,2,1,2,0,130,Unf,Typ,TA,Inside,Gtl,TA,CBlock,Gd,Y,No,1Story,None,WD,Lvl,Unf,OldTown,Wd Shng,Reg,Normal,TA,None,Gable,TA,TA,Gd,Artery,Y,1Fam,RM,Detchd,FuseA,3,2010,6,6,115000,11.6526961
59,11228,7,5,0,499,1080,2097,0,1,2,1,3,1,3,196,187,Unf,Typ,TA,CulDSac,Gtl,Gd,PConc,TA,Y,No,2Story,None,WD,Lvl,BLQ,SawyerW,VinylSd,IR2,Normal,Gd,None,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,12,2008,2,2,228000,12.33710529
73,8899,7,5,0,1316,1340,1340,0,0,2,0,3,0,2,100,30,Fin,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,Av,1Story,None,New,Lvl,GLQ,Gilbert,VinylSd,IR1,Partial,Gd,None,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,8,2007,1,1,181134,12.10699789
74,7844,6,7,203,463,672,1400,0,0,1,1,3,1,2,0,0,Fin,Typ,TA,Inside,Gtl,TA,CBlock,TA,Y,No,2Story,None,WD,Lvl,ALQ,Sawyer,HdBoard,Reg,Normal,TA,BrkFace,Hip,TA,TA,TA,Norm,Y,1Fam,RL,Attchd,SBrkr,3,2006,4,4,149500,11.91505836
86,22420,6,6,0,242,1370,2624,1,0,2,1,4,1,3,0,0,Unf,Typ,TA,Inside,Gtl,Gd,BrkTil,Gd,N,No,2Story,None,WD,Lvl,BLQ,Crawfor,Stucco,IR1,Normal,TA,None,Hip,TA,TA,TA,Feedr,N,1Fam,RL,Detchd,FuseA,11,2007,6,6,239000,12.38422302
60,8160,5,6,0,444,756,1134,1,0,1,1,3,0,1,0,0,Unf,Typ,TA,Inside,Gtl,TA,BrkTil,None,P,No,1.5Fin,None,WD,Lvl,ALQ,Edwards,MetalSd,Reg,AdjLand,TA,None,Gable,TA,TA,Fa,Norm,N,1Fam,RL,Detchd,FuseF,4,2007,6,6,126000,11.74404512
65,8450,5,6,0,281,1056,1056,1,0,1,0,3,1,1,0,269,Unf,Typ,TA,Inside,Gtl,TA,CBlock,Fa,Y,No,1Story,None,WD,Lvl,BLQ,NAmes,VinylSd,Reg,Normal,TA,None,Gable,TA,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,7,2010,5,5,142000,11.86358938
78,7060,7,5,200,35,1344,1344,2,0,2,0,2,0,4,0,0,Fin,Typ,Gd,Inside,Gtl,Gd,PConc,None,Y,Gd,SFoyer,None,WD,Lvl,GLQ,Mitchel,VinylSd,Reg,Alloca,TA,BrkFace,Gable,Gd,TA,Ex,Norm,Y,Duplex,RM,Attchd,SBrkr,11,2008,2,2,206300,12.23709155
80,16635,6,7,126,356,1602,1602,0,1,2,0,3,1,2,240,0,Fin,Typ,TA,FR2,Gtl,Gd,CBlock,TA,Y,No,1Story,None,WD,Lvl,ALQ,NWAmes,CmentBd,IR1,Normal,Gd,Stone,Gable,TA,Gd,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,6,2009,4,1,215000,12.27839796
100,21750,5,5,0,988,988,988,0,0,1,0,2,0,2,0,0,RFn,Typ,TA,Inside,Mod,TA,CBlock,None,N,No,1Story,None,WD,HLS,Unf,Mitchel,HdBoard,Reg,Normal,TA,None,Hip,TA,TA,Ex,Artery,Y,1Fam,RL,Attchd,FuseA,2,2008,6,6,113000,11.63515195
80,9200,8,5,473,484,1470,2630,1,0,2,1,4,1,3,0,66,Fin,Typ,TA,Inside,Gtl,Gd,PConc,TA,Y,No,2Story,None,WD,Lvl,GLQ,NoRidge,VinylSd,Reg,Normal,Gd,BrkFace,Gable,TA,Gd,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,6,2008,2,2,315000,12.66033109
72,9000,6,5,74,580,1196,1196,1,0,1,0,2,1,1,0,44,RFn,Typ,TA,Inside,Gtl,Gd,CBlock,Gd,Y,No,1Story,None,WD,Lvl,LwQ,NAmes,Wd Sdng,Reg,Normal,TA,BrkFace,Gable,TA,TA,Gd,Norm,Y,1Fam,RL,Attchd,FuseA,5,2008,6,6,139000,11.84223641
60,3378,7,8,0,651,651,1389,0,0,1,1,3,2,1,0,126,Unf,Typ,TA,Inside,Gtl,TA,CBlock,Gd,P,No,2Story,None,WD,HLS,Unf,OldTown,HdBoard,Reg,Normal,TA,None,Gable,Gd,TA,Gd,Norm,Y,1Fam,RM,Detchd,SBrkr,9,2009,6,2,135000,11.81303746
67,12800,7,5,145,0,1518,1644,1,1,2,0,2,1,2,80,396,Fin,Typ,TA,Inside,Mod,Gd,PConc,TA,Y,Gd,SLvl,None,WD,Low,GLQ,SawyerW,Wd Sdng,Reg,Normal,Gd,BrkFace,Gable,TA,Gd,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,8,2009,3,3,275000,12.52453001
77,8593,4,6,0,619,907,907,0,0,1,0,3,0,1,0,0,Unf,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,No,1Story,None,WD,Lvl,Rec,NAmes,MetalSd,IR1,Normal,TA,None,Hip,TA,TA,Ex,Norm,Y,1Fam,RL,Detchd,SBrkr,7,2008,6,6,109008,11.59918573
64,6762,7,5,108,544,1208,1208,1,0,2,0,2,0,2,105,54,RFn,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,No,1Story,None,New,Lvl,GLQ,CollgCr,VinylSd,Reg,Partial,Gd,BrkFace,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,9,2007,1,1,195400,12.18280914
130,11457,6,5,0,387,1392,1412,1,0,2,0,3,1,2,0,169,Unf,Typ,TA,Corner,Gtl,Gd,CBlock,TA,Y,Mn,1Story,None,WD,Lvl,GLQ,Timber,HdBoard,IR1,Normal,Gd,None,Gable,TA,TA,TA,Norm,Y,1Fam,RL,Attchd,SBrkr,3,2009,3,3,175000,12.07254697
21,1680,6,5,232,96,483,987,0,0,1,1,2,0,1,0,0,Unf,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,No,2Story,None,COD,Lvl,ALQ,BrDale,HdBoard,Reg,Abnorml,TA,BrkFace,Gable,TA,TA,TA,Norm,Y,Twnhs,RM,Detchd,SBrkr,7,2008,4,4,85400,11.35511309
60,5586,6,7,0,901,901,1198,0,0,1,0,4,0,0,0,98,None,Typ,TA,Inside,Gtl,TA,BrkTil,None,N,No,1.5Fin,MnPrv,ConLD,Bnk,Unf,OldTown,MetalSd,IR1,Abnorml,TA,None,Gable,TA,TA,Gd,Feedr,Y,1Fam,RM,None,SBrkr,9,2008,6,2,79900,11.28854365
24,1920,5,5,376,294,765,1365,1,0,1,1,2,0,2,240,36,Unf,Min1,TA,Inside,Gtl,TA,CBlock,None,Y,No,2Story,None,WD,Lvl,ALQ,BrDale,HdBoard,Reg,Normal,TA,BrkFace,Gable,TA,TA,Ex,Norm,Y,TwnhsE,RM,Detchd,SBrkr,8,2007,4,4,122500,11.71587447
100,10839,6,5,0,926,926,1604,0,0,2,1,3,1,2,0,36,Fin,Typ,TA,Corner,Gtl,Gd,PConc,TA,Y,No,2Story,None,WD,Lvl,Unf,Gilbert,VinylSd,IR1,Normal,TA,None,Gable,TA,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,7,2008,2,2,181000,12.10625784
21,1890,4,7,0,135,630,630,1,0,1,0,1,0,0,88,0,None,Typ,TA,Inside,Gtl,Gd,CBlock,None,Y,Av,SFoyer,None,WD,Lvl,ALQ,MeadowV,CmentBd,Reg,Normal,TA,None,Gable,Gd,TA,Gd,Norm,Y,Twnhs,RM,None,SBrkr,6,2008,4,4,81000,11.30221678
43,10667,7,6,0,70,799,1661,1,0,2,1,3,1,2,158,61,RFn,Typ,TA,CulDSac,Gtl,Gd,PConc,TA,Y,Av,2Story,None,ConLw,Lvl,GLQ,CollgCr,VinylSd,IR2,Normal,Gd,None,Gable,TA,Gd,Ex,PosN,Y,1Fam,RL,Attchd,SBrkr,4,2009,2,2,212000,12.26434627
40,4400,6,8,0,648,648,1118,0,0,1,0,2,0,2,0,0,Unf,Typ,TA,Inside,Gtl,Fa,BrkTil,None,Y,No,1.5Fin,None,WD,Lvl,Unf,OldTown,Stucco,Reg,Normal,TA,None,Gable,TA,TA,TA,Norm,Y,1Fam,RM,Detchd,FuseA,10,2006,6,6,116000,11.66135409
50,6000,6,7,0,884,884,904,0,0,1,0,2,0,1,0,105,Unf,Typ,TA,Inside,Gtl,TA,PConc,None,Y,No,1.5Unf,None,WD,Lvl,Unf,BrkSide,Wd Sdng,Reg,Normal,TA,None,Gable,TA,Gd,Gd,Norm,Y,1Fam,RM,Detchd,SBrkr,1,2009,6,1,119000,11.68688718
40,4280,5,6,0,75,440,694,0,0,1,0,2,1,1,0,34,Unf,Typ,TA,Inside,Gtl,TA,PConc,Gd,P,No,1Story,MnPrv,WD,Lvl,LwQ,Crawfor,Stucco,Reg,Normal,Gd,None,Gable,TA,TA,TA,Norm,N,1Fam,RL,Detchd,SBrkr,3,2007,6,1,90350,11.41145736
67,12354,6,8,0,684,684,1196,0,0,1,0,3,0,2,0,46,Unf,Typ,Fa,Corner,Gtl,TA,BrkTil,None,Y,Mn,1.5Fin,GdPrv,ConLI,Lvl,Unf,Edwards,Wd Sdng,Reg,Normal,Gd,None,Gable,TA,TA,Gd,Norm,Y,1Fam,RL,Detchd,SBrkr,8,2009,6,1,110000,11.60824474
105,15431,10,5,200,788,3094,2402,1,0,2,0,2,2,3,0,242,Fin,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,Gd,1Story,None,WD,Lvl,GLQ,NridgHt,VinylSd,Reg,Normal,Ex,Stone,Hip,TA,Ex,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,4,2009,1,1,555000,13.22672519
92,12108,4,4,270,1307,1440,1440,0,0,2,0,4,0,0,0,0,None,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,No,1Story,None,WD,Lvl,ALQ,Edwards,VinylSd,Reg,Normal,Fa,BrkFace,Gable,TA,TA,TA,Norm,N,Duplex,RL,None,FuseF,9,2008,6,6,118000,11.67844838
52,6240,5,7,0,1078,1078,1573,0,0,2,0,3,1,2,0,0,Unf,Typ,TA,Inside,Gtl,TA,PConc,Gd,P,No,1.5Fin,None,WD,Lvl,Unf,BrkSide,MetalSd,Reg,Normal,TA,None,Gable,TA,TA,TA,Norm,Y,1Fam,RM,Detchd,SBrkr,6,2008,6,2,162900,12.00089793
53,3922,7,5,72,1258,1258,1258,0,0,2,0,2,1,3,144,16,Fin,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,Av,1Story,None,New,Lvl,Unf,Blmngtn,Wd Shng,Reg,Partial,Gd,BrkFace,Gable,TA,Gd,Ex,Norm,Y,TwnhsE,RL,Attchd,SBrkr,6,2007,1,1,172500,12.05815831
70,8750,7,5,0,273,915,1908,1,0,2,1,4,1,2,144,133,Unf,Typ,TA,Inside,Gtl,Gd,PConc,TA,Y,No,2Story,None,WD,Lvl,GLQ,CollgCr,VinylSd,Reg,Normal,Gd,None,Gable,Gd,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,7,2008,2,2,210000,12.25486757
73,9855,6,5,0,1436,1436,1689,0,0,1,0,3,1,2,0,0,Unf,Typ,TA,Corner,Gtl,TA,CBlock,Gd,Y,No,1Story,MnPrv,COD,Lvl,Unf,Edwards,Wd Sdng,Reg,Normal,TA,None,Hip,TA,TA,Fa,Norm,Y,1Fam,RL,Attchd,SBrkr,11,2009,6,6,127500,11.75587949
137,16492,6,6,0,557,1517,1888,0,0,2,1,2,1,2,0,0,Fin,Mod,TA,Corner,Gtl,TA,CBlock,Gd,Y,No,1Story,None,WD,Lvl,ALQ,NAmes,Plywood,IR1,Normal,Gd,None,Gable,TA,Gd,Ex,PosA,Y,1Fam,RL,Attchd,SBrkr,6,2010,5,1,190000,12.15478461
64,11214,7,5,0,930,930,1886,0,0,2,1,4,1,2,89,0,Fin,Typ,TA,Corner,Gtl,Gd,PConc,TA,Y,No,2Story,None,WD,Lvl,Unf,Gilbert,VinylSd,IR1,Normal,Gd,None,Gable,TA,Gd,Gd,Norm,Y,1Fam,RL,Attchd,SBrkr,7,2006,2,2,199900,12.20557752
50,8600,6,6,0,780,780,1376,0,0,2,0,3,1,1,0,0,Unf,Typ,TA,Inside,Gtl,TA,BrkTil,Gd,N,No,1.5Fin,None,WD,Bnk,Unf,IDOTRR,MetalSd,Reg,Normal,TA,None,Gable,TA,TA,TA,Norm,Y,1Fam,RM,Detchd,SBrkr,6,2006,6,6,119500,11.69108002
50,6000,3,7,0,318,649,1183,0,0,1,1,2,0,1,0,176,Unf,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,No,1.5Fin,None,WD,Lvl,ALQ,OldTown,MetalSd,Reg,Normal,TA,None,Gable,Gd,TA,Ex,Norm,Y,1Fam,RM,Detchd,SBrkr,6,2007,6,1,120000,11.69525536
70,5684,6,8,0,813,813,813,0,0,1,0,2,0,1,0,113,Unf,Typ,TA,Inside,Gtl,TA,BrkTil,None,N,No,1Story,None,WD,Lvl,Unf,OldTown,Wd Sdng,Reg,Normal,Gd,None,Hip,TA,TA,Ex,Norm,Y,1Fam,RM,Detchd,FuseA,6,2006,6,1,110000,11.60824474
62,70761,7,5,0,878,1533,1533,1,0,2,0,2,2,2,200,54,Unf,Typ,TA,Inside,Mod,Gd,CBlock,TA,Y,Gd,1Story,None,WD,Low,ALQ,ClearCr,Plywood,IR1,Normal,Gd,None,Gable,TA,TA,TA,Norm,Y,1Fam,RL,Attchd,SBrkr,12,2006,4,4,280000,12.54254845
82,9303,6,5,42,130,872,1756,1,0,2,1,3,0,2,144,122,Fin,Typ,TA,Corner,Gtl,Ex,PConc,None,Y,No,2Story,None,WD,Lvl,ALQ,Timber,VinylSd,IR1,Normal,TA,BrkFace,Hip,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,7,2007,2,2,204000,12.22588017
75,9000,8,5,0,768,768,1590,0,0,2,1,3,0,2,0,30,RFn,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,No,2Story,None,WD,Lvl,Unf,Somerst,VinylSd,Reg,Normal,Gd,None,Gable,TA,Gd,Ex,Norm,Y,1Fam,FV,Attchd,SBrkr,6,2009,1,1,210000,12.25486757
63,9297,5,5,0,122,1728,1728,2,0,2,0,4,0,2,0,0,Unf,Typ,TA,Inside,Gtl,TA,CBlock,None,Y,No,1Story,None,WD,Lvl,ALQ,Mitchel,Plywood,Reg,Family,TA,None,Gable,TA,TA,TA,Norm,Y,Duplex,RL,Detchd,SBrkr,7,2006,4,4,188000,12.14420256
80,9600,7,6,320,326,1242,1242,0,0,1,1,3,1,2,0,0,Unf,Typ,TA,Inside,Gtl,TA,CBlock,TA,Y,No,1Story,None,WD,Lvl,ALQ,NWAmes,HdBoard,Reg,Normal,TA,BrkFace,Hip,TA,TA,Fa,Norm,Y,1Fam,RL,Attchd,SBrkr,9,2007,4,4,175500,12.07540002
34,4571,5,5,0,624,624,1344,0,0,1,0,4,0,3,0,96,Unf,Typ,TA,Inside,Gtl,TA,BrkTil,None,Y,No,2Story,None,COD,Lvl,Unf,OldTown,AsbShng,Reg,Abnorml,TA,None,Gable,TA,TA,Fa,Norm,N,1Fam,RM,Detchd,SBrkr,5,2008,6,6,98000,11.49273296
80.5,53227,4,6,0,248,1364,1663,1,0,1,0,2,2,2,224,137,Fin,Min1,TA,CulDSac,Mod,Gd,CBlock,Gd,Y,Gd,1Story,None,WD,Low,BLQ,ClearCr,Plywood,IR1,Normal,Gd,None,Flat,TA,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,3,2008,6,2,256000,12.45293663
60,5100,8,7,0,588,588,1666,0,0,1,0,3,1,1,192,63,Unf,Typ,TA,Inside,Gtl,TA,PConc,Gd,Y,No,2Story,MnPrv,WD,Lvl,Unf,OldTown,Wd Shng,Reg,Normal,Gd,None,Hip,Gd,TA,Fa,Norm,Y,1Fam,RM,Detchd,SBrkr,6,2008,6,2,161000,11.98916586
51,7015,5,4,161,524,709,1203,1,0,1,0,3,1,1,0,248,Unf,Typ,TA,Corner,Gtl,TA,CBlock,TA,Y,No,1.5Fin,None,WD,Bnk,LwQ,BrkSide,MetalSd,IR1,Normal,Gd,BrkCmn,Gable,TA,TA,TA,Norm,Y,1Fam,RL,Detchd,SBrkr,7,2009,6,6,110000,11.60824474
75,8004,8,5,110,288,832,1935,1,0,2,1,3,0,2,0,150,Fin,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,No,2Story,None,New,Lvl,GLQ,Somerst,VinylSd,IR1,Partial,TA,Stone,Gable,TA,Gd,Ex,RRAn,Y,1Fam,FV,BuiltIn,SBrkr,12,2009,1,1,263435,12.48156573
60,7200,7,9,0,0,560,1135,1,0,1,0,3,0,2,256,0,RFn,Typ,Gd,Inside,Gtl,Gd,PConc,None,Y,No,2Story,MnPrv,WD,Lvl,ALQ,SWISU,Wd Sdng,Reg,Normal,Gd,None,Gable,Gd,Gd,Ex,Feedr,Y,1Fam,RL,Detchd,SBrkr,4,2009,6,1,155000,11.95118685
60,8281,5,5,0,0,864,864,0,0,1,0,3,1,1,0,236,Unf,Typ,TA,Inside,Gtl,TA,CBlock,Po,Y,No,1Story,GdWo,WD,Lvl,Rec,Sawyer,MetalSd,IR1,Normal,TA,None,Gable,TA,TA,Gd,Norm,Y,1Fam,RL,Detchd,SBrkr,12,2009,5,5,62383,11.04106411
74,11988,6,7,0,389,715,1660,0,0,1,1,3,1,1,0,0,Unf,Typ,TA,Inside,Mod,TA,CBlock,Gd,Y,No,2Story,None,WD,HLS,LwQ,Crawfor,Stucco,IR1,Normal,TA,None,Hip,TA,TA,Fa,Norm,Y,1Fam,RL,Detchd,FuseA,8,2008,6,2,188700,12.14791903
60,8430,5,5,136,424,1040,1040,0,0,2,0,3,0,0,0,0,None,Typ,TA,Inside,Mod,Gd,CBlock,None,Y,No,1Story,None,WD,HLS,Rec,CollgCr,HdBoard,Reg,Normal,TA,BrkFace,Gable,TA,TA,TA,Norm,Y,1Fam,RL,None,SBrkr,8,2009,4,4,124000,11.72804491
43,3072,7,5,18,1375,1375,1414,0,0,2,0,2,1,2,144,20,Fin,Typ,TA,Inside,Gtl,Gd,PConc,TA,Y,No,1Story,None,WD,Lvl,Unf,Blmngtn,VinylSd,Reg,Normal,Gd,BrkFace,Hip,TA,Gd,Ex,Norm,Y,TwnhsE,RM,Attchd,SBrkr,5,2006,1,1,178740,12.09369311
85,10628,7,5,0,499,1277,1277,1,0,1,0,2,1,2,0,176,Unf,Typ,Gd,Inside,Gtl,TA,CBlock,Po,Y,Gd,1Story,GdWo,WD,Lvl,GLQ,NAmes,Plywood,Reg,Normal,TA,None,Flat,Gd,TA,TA,Norm,Y,1Fam,RL,Attchd,SBrkr,4,2007,4,4,167000,12.02575508
79,9480,5,7,224,342,728,1644,0,0,1,1,3,2,1,168,0,Unf,Typ,TA,Inside,Gtl,TA,CBlock,Gd,Y,No,2Story,None,WD,Lvl,LwQ,NAmes,MetalSd,Reg,Normal,Gd,Stone,Gable,TA,TA,Ex,Artery,Y,1Fam,RL,Attchd,SBrkr,6,2007,6,2,146500,11.89478753
98,11428,8,5,248,1626,1626,1634,0,0,2,0,3,1,3,0,44,RFn,Typ,TA,Inside,Gtl,Gd,PConc,Gd,Y,No,1Story,None,WD,Lvl,Unf,NridgHt,VinylSd,IR1,Normal,Gd,Stone,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,5,2007,1,1,250000,12.4292202
76,9291,6,5,120,406,832,1710,0,0,2,1,3,0,2,144,70,RFn,Typ,TA,Corner,Gtl,Gd,PConc,None,Y,No,2Story,None,WD,Lvl,GLQ,SawyerW,HdBoard,IR1,Normal,Gd,BrkFace,Gable,TA,Gd,Ex,RRNe,Y,1Fam,RL,Attchd,SBrkr,6,2008,2,2,187000,12.13886924
60,6820,8,5,0,0,1488,1502,1,0,1,1,1,0,2,0,194,RFn,Typ,TA,Corner,Gtl,Gd,PConc,None,Y,Av,1Story,None,WD,Lvl,GLQ,StoneBr,HdBoard,IR1,Normal,Gd,None,Gable,TA,Gd,TA,Norm,Y,TwnhsE,RL,Attchd,SBrkr,6,2010,3,3,212000,12.26434627
92,11952,7,6,0,808,808,1969,0,0,2,1,3,1,2,0,276,RFn,Typ,TA,Inside,Gtl,Gd,CBlock,Gd,Y,No,2Story,None,WD,Lvl,Unf,NWAmes,Plywood,Reg,Normal,TA,None,Mansard,TA,TA,TA,PosA,Y,1Fam,RL,Attchd,SBrkr,11,2007,4,4,190000,12.15478461
35,3675,6,5,80,88,547,1072,1,0,1,0,2,0,2,0,28,RFn,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,Gd,SLvl,None,WD,Lvl,GLQ,Edwards,VinylSd,Reg,Normal,TA,BrkFace,Gable,TA,TA,Ex,Norm,Y,TwnhsE,RM,Basment,SBrkr,6,2008,1,1,148000,11.90497431
110,14977,8,5,304,626,1976,1976,1,0,2,0,2,1,3,250,63,RFn,Typ,TA,Inside,Gtl,Ex,PConc,Ex,Y,Gd,1Story,None,New,Lvl,GLQ,NridgHt,VinylSd,IR1,Partial,Gd,BrkFace,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,7,2007,1,1,440000,12.99453228
41,5330,8,5,0,298,1494,1652,1,0,2,0,2,0,2,96,48,RFn,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,Av,1Story,None,WD,Lvl,GLQ,StoneBr,CmentBd,Reg,Normal,Ex,None,Gable,TA,Gd,Ex,Norm,Y,TwnhsE,RL,Attchd,SBrkr,8,2007,1,1,251000,12.4332122
80,8480,5,6,0,340,970,970,1,0,1,0,2,0,2,0,216,Unf,Typ,TA,Corner,Gtl,TA,CBlock,None,Y,No,1Story,None,WD,Lvl,GLQ,Sawyer,HdBoard,Reg,Normal,TA,None,Hip,TA,TA,TA,Norm,Y,1Fam,RL,Detchd,SBrkr,7,2007,5,5,132500,11.79434547
75,13125,6,5,215,484,1478,1493,1,0,2,0,3,1,2,140,39,Fin,Typ,TA,Inside,Mod,Gd,PConc,TA,Y,Gd,1Story,None,WD,Lvl,GLQ,CollgCr,VinylSd,Reg,Normal,Gd,BrkFace,Gable,TA,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,4,2008,2,2,208900,12.24961573
105,13693,9,5,772,2153,2153,2643,0,0,2,1,3,1,3,414,84,Fin,Typ,TA,Inside,Gtl,Gd,PConc,Gd,Y,Av,2Story,None,WD,Lvl,Unf,NridgHt,VinylSd,Reg,Normal,Ex,BrkFace,Hip,TA,Ex,Ex,Norm,Y,1Fam,RL,BuiltIn,SBrkr,3,2007,1,1,380000,12.84792916
79,10637,8,5,336,417,1705,1718,1,0,2,0,3,1,3,208,44,RFn,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,Gd,1Story,None,WD,Lvl,GLQ,CollgCr,VinylSd,Reg,Normal,Gd,Stone,Hip,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,9,2009,1,1,297000,12.60149078
50,5925,4,7,435,739,907,1131,0,0,1,0,2,0,2,0,72,Unf,Typ,TA,Inside,Gtl,Fa,BrkTil,None,Y,No,1Story,MnPrv,WD,Bnk,Rec,OldTown,Stucco,Reg,Alloca,TA,BrkCmn,Hip,TA,TA,TA,Norm,Y,1Fam,RM,Detchd,SBrkr,3,2007,6,1,89471,11.40168101
98,16033,9,5,378,572,1833,1850,1,0,2,0,3,1,3,519,112,Fin,Typ,TA,FR2,Gtl,Ex,PConc,Gd,Y,Gd,1Story,None,WD,Lvl,GLQ,NridgHt,VinylSd,IR1,Normal,Gd,BrkFace,Hip,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,3,2006,1,1,326000,12.69465573
72,11846,9,5,562,225,1792,1792,1,0,2,0,2,1,3,206,49,Fin,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,Gd,1Story,None,WD,HLS,GLQ,NridgHt,VinylSd,IR1,Normal,Ex,BrkFace,Hip,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,8,2006,1,1,374000,12.83201375
50,2500,7,8,0,611,910,1826,1,0,1,1,4,1,1,0,0,Unf,Min2,TA,Corner,Gtl,TA,PConc,Gd,Y,No,2Story,None,WD,Lvl,ALQ,OldTown,Stucco,Reg,Normal,Ex,None,Gable,TA,Gd,Ex,Norm,Y,1Fam,RM,Attchd,SBrkr,6,2009,6,1,155000,11.95118685
32,4500,6,5,116,319,1216,1216,1,0,2,0,2,0,2,0,125,Unf,Typ,TA,FR2,Gtl,Ex,PConc,None,Y,No,1Story,None,WD,Lvl,GLQ,Mitchel,VinylSd,Reg,Normal,TA,BrkFace,Hip,TA,TA,Ex,Norm,Y,Twnhs,RM,Attchd,SBrkr,5,2006,2,2,164000,12.0076278
72,7758,5,7,0,411,999,999,1,0,1,0,3,0,1,0,132,Unf,Typ,TA,Corner,Gtl,TA,CBlock,None,Y,No,1Story,None,WD,Lvl,ALQ,Sawyer,Plywood,IR1,Normal,Gd,None,Gable,Gd,TA,Gd,Norm,Y,1Fam,RL,Detchd,SBrkr,3,2007,5,1,132500,11.79434547
